"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:03:11.213","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:03:11.933","Ball Receipt*","Spain","Sergio Busquets i Burgos","Regular Play"
"00:03:11.933","Carry","Spain","Sergio Busquets i Burgos","Regular Play"
"00:03:14.253","Pass","Spain","Sergio Busquets i Burgos","Regular Play"
"00:03:15.133","Ball Receipt*","Spain","David Josué Jiménez Silva","Regular Play"
"00:03:15.133","Carry","Spain","David Josué Jiménez Silva","Regular Play"
"00:03:17.053","Pass","Spain","David Josué Jiménez Silva","Regular Play"
"00:03:18.093","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:03:18.093","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:03:20.573","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:03:21.332","Ball Receipt*","Spain","Jordi Alba Ramos","Regular Play"
"00:03:21.332","Carry","Spain","Jordi Alba Ramos","Regular Play"
"00:03:21.333","Pass","Spain","Jordi Alba Ramos","Regular Play"
"00:03:22.080","Pressure","Iran","Mehdi Taremi","Regular Play"
"00:03:22.493","Ball Receipt*","Spain","Andrés Iniesta Luján","Regular Play"
"00:03:22.493","Carry","Spain","Andrés Iniesta Luján","Regular Play"
"00:03:23.093","Pass","Spain","Andrés Iniesta Luján","Regular Play"
"00:03:23.493","Ball Receipt*","Spain","Jordi Alba Ramos","Regular Play"
"00:03:23.493","Carry","Spain","Jordi Alba Ramos","Regular Play"
"00:03:23.520","Pressure","Iran","Omid Ebrahimi","Regular Play"
"00:03:23.853","Pass","Spain","Jordi Alba Ramos","Regular Play"
"00:03:24.413","Ball Receipt*","Spain","Andrés Iniesta Luján","Regular Play"
"00:03:24.413","Pass","Spain","Andrés Iniesta Luján","Regular Play"
"00:03:24.933","Ball Receipt*","Spain","Jordi Alba Ramos","Regular Play"
"00:03:24.933","Carry","Spain","Jordi Alba Ramos","Regular Play"
"00:03:25.440","Pressure","Iran","Mehdi Taremi","Regular Play"
"00:03:25.733","Pass","Spain","Jordi Alba Ramos","Regular Play"
"00:03:26.053","Ball Receipt*","Spain","Andrés Iniesta Luján","Regular Play"
"00:03:26.053","Carry","Spain","Andrés Iniesta Luján","Regular Play"
"00:03:26.453","Pass","Spain","Andrés Iniesta Luján","Regular Play"
"00:03:27.733","Ball Receipt*","Spain","Jordi Alba Ramos","Regular Play"
"00:03:27.733","Carry","Spain","Jordi Alba Ramos","Regular Play"
"00:03:27.880","Pressure","Iran","Ramin Rezaeian","Regular Play"
"00:03:29.000","Pass","Spain","Jordi Alba Ramos","Regular Play"
"00:03:31.280","Ball Receipt*","Spain","Lucas Vázquez Iglesias","Regular Play"
"00:03:31.280","Clearance","Iran","Ehsan Hajsafi","Regular Play"
"00:03:32.213","Ball Recovery","Spain","Daniel Carvajal Ramos","Regular Play"
"00:03:32.400","Shot","Spain","Daniel Carvajal Ramos","Regular Play"
"00:03:33.733","Goal Keeper","Iran","Alireza Safar Beiranvand","Regular Play"
"00:04:08.693","Pass","Iran","Alireza Safar Beiranvand","From Goal Kick"
"00:04:11.960","Ball Receipt*","Iran","Karim Ansarifard","From Goal Kick"
"00:04:11.960","Pass","Spain","Gerard Piqué Bernabéu","Regular Play"
"00:04:13.240","Ball Receipt*","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:13.240","Carry","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:13.375","Pass","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:14.293","Ball Receipt*","Spain","Sergio Busquets i Burgos","Regular Play"
"00:04:14.293","Carry","Spain","Sergio Busquets i Burgos","Regular Play"
"00:04:21.973","Pass","Spain","Sergio Busquets i Burgos","Regular Play"
"00:04:23.092","Ball Receipt*","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:23.092","Carry","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:23.240","Pressure","Iran","Omid Ebrahimi","Regular Play"
"00:04:24.373","Pass","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:25.240","Pressure","Iran","Mehdi Taremi","Regular Play"
"00:04:25.293","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:04:25.293","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:04:27.453","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:04:28.252","Ball Receipt*","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:28.252","Carry","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:28.320","Pressure","Iran","Omid Ebrahimi","Regular Play"
"00:04:30.280","Pass","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:31.493","Ball Receipt*","Spain","Diego da Silva Costa","Regular Play"
"00:04:31.493","Pass","Iran","Morteza Pouraliganji","Regular Play"
"00:04:32.133","Ball Receipt*","Iran","Saeid Ezatolahi Afagh","Regular Play"
"00:04:32.133","Carry","Iran","Saeid Ezatolahi Afagh","Regular Play"
"00:04:32.493","Pressure","Spain","Andrés Iniesta Luján","Regular Play"
"00:04:33.573","Pressure","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:04:35.000","Pass","Iran","Saeid Ezatolahi Afagh","Regular Play"
"00:04:35.693","Ball Receipt*","Iran","Sardar Azmoun","Regular Play"
"00:04:35.693","Block","Spain","Sergio Busquets i Burgos","Regular Play"
"00:04:37.333","Ball Recovery","Iran","Ramin Rezaeian","Regular Play"
"00:04:37.333","Carry","Iran","Ramin Rezaeian","Regular Play"
"00:04:38.573","Pressure","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:04:38.880","Pass","Iran","Ramin Rezaeian","Regular Play"
"00:04:39.893","Ball Receipt*","Iran","Omid Ebrahimi","Regular Play"
"00:04:39.893","Carry","Iran","Omid Ebrahimi","Regular Play"
"00:04:40.533","Pressure","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:04:41.573","Pressure","Spain","Jordi Alba Ramos","Regular Play"
"00:04:41.680","Pass","Iran","Omid Ebrahimi","Regular Play"
"00:04:43.480","Ball Receipt*","Iran","Sardar Azmoun","Regular Play"
"00:04:43.480","Pass","Iran","Sardar Azmoun","Regular Play"
"00:04:45.320","Pressure","Spain","Sergio Ramos García","Regular Play"
"00:04:45.733","Ball Receipt*","Iran","Mehdi Taremi","Regular Play"
"00:04:45.733","Carry","Iran","Mehdi Taremi","Regular Play"
"00:04:47.760","Pass","Iran","Mehdi Taremi","Regular Play"
"00:04:47.773","Pressure","Spain","David Josué Jiménez Silva","Regular Play"
"00:04:49.573","Ball Receipt*","Iran","Karim Ansarifard","Regular Play"
"00:04:49.573","Carry","Iran","Karim Ansarifard","Regular Play"
"00:04:50.373","Pressure","Spain","Daniel Carvajal Ramos","Regular Play"
"00:04:50.840","Pass","Iran","Karim Ansarifard","Regular Play"
"00:04:51.093","Pressure","Spain","Lucas Vázquez Iglesias","Regular Play"
"00:04:52.013","Ball Receipt*","Iran","Ehsan Hajsafi","Regular Play"
"00:04:52.013","Pass","Iran","Ehsan Hajsafi","Regular Play"
"00:04:53.973","Pressure","Spain","Daniel Carvajal Ramos","Regular Play"
"00:04:54.933","Ball Receipt*","Iran","Vahid Amiri","Regular Play"
"00:04:54.933","Carry","Iran","Vahid Amiri","Regular Play"
"00:04:55.013","Dribbled Past","Spain","Daniel Carvajal Ramos","Regular Play"
"00:04:55.013","Dribble","Iran","Vahid Amiri","Regular Play"
"00:04:55.013","Carry","Iran","Vahid Amiri","Regular Play"
"00:04:56.280","Pass","Iran","Vahid Amiri","Regular Play"
"00:04:57.200","Ball Receipt*","Iran","Sardar Azmoun","Regular Play"
"00:04:57.200","Pass","Spain","David Josué Jiménez Silva","Regular Play"
"00:05:00.013","Ball Receipt*","Spain","Daniel Carvajal Ramos","Regular Play"
"00:05:00.493","Ball Recovery","Iran","Vahid Amiri","Regular Play"
"00:05:00.493","Carry","Iran","Vahid Amiri","Regular Play"
"00:05:09.360","Foul Committed","Spain","Daniel Carvajal Ramos","Regular Play"
"00:05:09.360","Foul Won","Iran","Vahid Amiri","Regular Play"
"00:05:53.480","Pass","Iran","Ehsan Hajsafi","From Free Kick"
"00:05:54.733","Ball Receipt*","Iran","Mehdi Taremi","From Free Kick"
"00:05:54.733","Clearance","Spain","Gerard Piqué Bernabéu","From Free Kick"
"00:05:57.040","Ball Recovery","Iran","Vahid Amiri","From Free Kick"
"00:05:57.040","Carry","Iran","Vahid Amiri","From Free Kick"
"00:05:57.080","Shot","Iran","Vahid Amiri","From Free Kick"
"00:05:59.040","Goal Keeper","Spain","David de Gea Quintana","From Free Kick"
"00:06:09.840","Camera On","Spain",NA,"Regular Play"
"00:06:11.880","Pass","Spain","Sergio Ramos García","Regular Play"
"00:06:13.093","Ball Receipt*","Spain","Jordi Alba Ramos","Regular Play"
"00:06:13.093","Carry","Spain","Jordi Alba Ramos","Regular Play"
"00:06:16.573","Pass","Spain","Jordi Alba Ramos","Regular Play"
"00:06:17.972","Ball Receipt*","Spain","Sergio Busquets i Burgos","Regular Play"
"00:06:17.972","Carry","Spain","Sergio Busquets i Burgos","Regular Play"
"00:06:19.373","Pass","Spain","Sergio Busquets i Burgos","Regular Play"
"00:06:20.040","Pressure","Iran","Vahid Amiri","Regular Play"
"00:06:20.613","Ball Receipt*","Spain","David Josué Jiménez Silva","Regular Play"
"00:06:20.613","Carry","Spain","David Josué Jiménez Silva","Regular Play"
"00:06:21.333","Pass","Spain","David Josué Jiménez Silva","Regular Play"
"00:06:22.613","Ball Receipt*","Spain","Gerard Piqué Bernabéu","Regular Play"
"00:06:22.613","Carry","Spain","Gerard Piqué Bernabéu","Regular Play"
"00:06:23.293","Pass","Spain","Gerard Piqué Bernabéu","Regular Play"
"00:06:25.172","Ball Receipt*","Spain","Sergio Ramos García","Regular Play"
"00:06:25.172","Carry","Spain","Sergio Ramos García","Regular Play"
"00:06:26.413","Pass","Spain","Sergio Ramos García","Regular Play"
"00:06:26.840","Pressure","Iran","Omid Ebrahimi","Regular Play"
"00:06:27.293","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:06:27.293","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:06:27.933","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:06:28.813","Ball Receipt*","Spain","Sergio Ramos García","Regular Play"
"00:06:28.813","Carry","Spain","Sergio Ramos García","Regular Play"
"00:06:30.373","Pass","Spain","Sergio Ramos García","Regular Play"
"00:06:31.373","Ball Receipt*","Spain","Sergio Busquets i Burgos","Regular Play"
"00:06:31.373","Carry","Spain","Sergio Busquets i Burgos","Regular Play"
"00:06:33.813","Pass","Spain","Sergio Busquets i Burgos","Regular Play"
"00:06:34.893","Ball Receipt*","Spain","Sergio Ramos García","Regular Play"
"00:06:34.893","Carry","Spain","Sergio Ramos García","Regular Play"
"00:06:35.533","Pass","Spain","Sergio Ramos García","Regular Play"
"00:06:36.493","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:06:36.493","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:06:38.720","Pressure","Iran","Omid Ebrahimi","Regular Play"
"00:06:39.813","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:06:40.533","Ball Receipt*","Spain","Jordi Alba Ramos","Regular Play"
"00:06:40.533","Carry","Spain","Jordi Alba Ramos","Regular Play"
"00:06:40.973","Pass","Spain","Jordi Alba Ramos","Regular Play"
"00:06:41.453","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:06:41.453","Interception","Iran","Mehdi Taremi","Regular Play"
"00:06:41.453","Carry","Iran","Mehdi Taremi","Regular Play"
"00:06:41.973","Pressure","Spain","Jordi Alba Ramos","Regular Play"
"00:06:43.000","Pass","Iran","Mehdi Taremi","Regular Play"
"00:06:43.413","Block","Spain","Jordi Alba Ramos","Regular Play"
"00:07:06.040","Pass","Iran","Ramin Rezaeian","From Throw In"
"00:07:07.600","Ball Receipt*","Iran","Sardar Azmoun","From Throw In"
"00:07:07.600","Carry","Iran","Sardar Azmoun","From Throw In"
"00:07:11.013","Foul Committed","Spain","Sergio Ramos García","From Throw In"
"00:07:11.013","Foul Won","Iran","Sardar Azmoun","From Throw In"
"00:07:57.653","Pass","Iran","Ramin Rezaeian","From Free Kick"
"00:08:01.000","Ball Receipt*","Iran","Karim Ansarifard","From Free Kick"
"00:08:01.000","Duel","Iran","Karim Ansarifard","From Free Kick"
"00:08:01.000","Pass","Spain","Gerard Piqué Bernabéu","From Free Kick"
"00:08:02.400","Ball Receipt*","Spain","Lucas Vázquez Iglesias","From Free Kick"
"00:08:02.400","Pass","Iran","Vahid Amiri","From Free Kick"
"00:08:03.213","Ball Receipt*","Iran","Sardar Azmoun","From Free Kick"
"00:08:03.213","Pass","Iran","Sardar Azmoun","From Free Kick"
"00:08:03.293","Pressure","Spain","Sergio Busquets i Burgos","From Free Kick"
"00:08:04.173","Ball Receipt*","Iran","Karim Ansarifard","From Free Kick"
