"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:13:49.689","Ball Recovery","Australia","Tom Rogić","From Corner"
"00:13:49.689","Carry","Australia","Tom Rogić","From Corner"
"00:13:51.129","Dribble","Australia","Tom Rogić","From Corner"
"00:13:51.129","Duel","France","Benjamin Pavard","From Corner"
"00:13:51.129","Carry","France","Benjamin Pavard","From Corner"
"00:13:53.396","Pass","France","Benjamin Pavard","From Corner"
"00:13:53.769","Ball Receipt*","France","Corentin Tolisso","From Corner"
"00:13:53.769","Block","Australia","Aziz Eraltay Behich","From Corner"
"00:13:53.796","Pass","France","Benjamin Pavard","From Corner"
"00:13:54.316","Ball Receipt*","France","Paul Pogba","From Corner"
"00:13:54.316","Carry","France","Paul Pogba","From Corner"
"00:13:56.409","Pressure","Australia","Mile Jedinak","From Corner"
"00:13:56.516","Pass","France","Paul Pogba","From Corner"
"00:13:57.169","Ball Receipt*","France","Corentin Tolisso","From Corner"
"00:13:57.169","Carry","France","Corentin Tolisso","From Corner"
"00:13:58.796","Pass","France","Corentin Tolisso","From Corner"
"00:13:59.769","Ball Receipt*","France","Kylian Mbappé Lottin","From Corner"
"00:13:59.769","Interception","Australia","Aaron Mooy","Regular Play"
"00:13:59.769","Carry","Australia","Aaron Mooy","Regular Play"
"00:14:02.089","Pass","Australia","Aaron Mooy","Regular Play"
"00:14:02.569","Ball Receipt*","Australia","Aziz Eraltay Behich","Regular Play"
"00:14:02.569","Carry","Australia","Aziz Eraltay Behich","Regular Play"
"00:14:03.289","Pressure","France","Corentin Tolisso","Regular Play"
"00:14:04.009","Pass","Australia","Aziz Eraltay Behich","Regular Play"
"00:14:06.009","Ball Receipt*","Australia","Mathew Ryan","Regular Play"
"00:14:06.009","Carry","Australia","Mathew Ryan","Regular Play"
"00:14:08.769","Pass","Australia","Mathew Ryan","Regular Play"
"00:14:11.636","Ball Receipt*","Australia","Josh Risdon","Regular Play"
"00:14:11.636","Pass","France","Lucas Hernández Pi","Regular Play"
"00:14:13.889","Ball Receipt*","France","Ousmane Dembélé","Regular Play"
"00:14:13.889","Pass","Australia","Trent Sainsbury","Regular Play"
"00:14:15.796","Ball Receipt*","Australia","Andrew Nabbout","Regular Play"
"00:14:15.796","Pass","France","Samuel Yves Umtiti","Regular Play"
"00:14:16.769","Ball Receipt*","France","Paul Pogba","Regular Play"
"00:14:16.769","Carry","France","Paul Pogba","Regular Play"
"00:14:18.316","Pass","France","Paul Pogba","Regular Play"
"00:14:21.209","Ball Receipt*","France","Kylian Mbappé Lottin","Regular Play"
"00:14:21.209","Ball Recovery","Australia","Mathew Ryan","Regular Play"
"00:14:21.209","Carry","Australia","Mathew Ryan","Regular Play"
"00:14:25.249","Pass","Australia","Mathew Ryan","Regular Play"
"00:14:27.928","Ball Receipt*","Australia","Josh Risdon","Regular Play"
"00:14:27.928","Carry","Australia","Josh Risdon","Regular Play"
"00:14:30.289","Pass","Australia","Josh Risdon","Regular Play"
"00:14:31.889","Ball Receipt*","Australia","Trent Sainsbury","Regular Play"
"00:14:31.889","Carry","Australia","Trent Sainsbury","Regular Play"
"00:14:33.129","Pass","Australia","Trent Sainsbury","Regular Play"
"00:14:34.569","Ball Receipt*","Australia","Mark Milligan","Regular Play"
"00:14:34.569","Carry","Australia","Mark Milligan","Regular Play"
"00:14:37.169","Pass","Australia","Mark Milligan","Regular Play"
"00:14:38.649","Ball Receipt*","Australia","Trent Sainsbury","Regular Play"
"00:14:38.649","Carry","Australia","Trent Sainsbury","Regular Play"
"00:14:39.689","Pass","Australia","Trent Sainsbury","Regular Play"
"00:14:40.649","Ball Receipt*","Australia","Aaron Mooy","Regular Play"
"00:14:40.649","Carry","Australia","Aaron Mooy","Regular Play"
"00:14:41.849","Pressure","France","Paul Pogba","Regular Play"
"00:14:41.929","Pass","Australia","Aaron Mooy","Regular Play"
"00:14:43.089","Ball Receipt*","Australia","Tom Rogić","Regular Play"
"00:14:43.089","Carry","Australia","Tom Rogić","Regular Play"
"00:14:43.729","Pressure","France","N''Golo Kanté","Regular Play"
"00:14:44.449","Pass","Australia","Tom Rogić","Regular Play"
"00:14:45.969","Ball Receipt*","Australia","Aziz Eraltay Behich","Regular Play"
"00:14:45.969","Carry","Australia","Aziz Eraltay Behich","Regular Play"
"00:14:48.769","Pass","Australia","Aziz Eraltay Behich","Regular Play"
"00:14:49.969","Ball Receipt*","Australia","Mark Milligan","Regular Play"
"00:14:49.969","Carry","Australia","Mark Milligan","Regular Play"
"00:14:52.289","Pass","Australia","Mark Milligan","Regular Play"
"00:14:53.929","Ball Receipt*","Australia","Trent Sainsbury","Regular Play"
"00:14:53.929","Carry","Australia","Trent Sainsbury","Regular Play"
"00:14:54.649","Pressure","France","Antoine Griezmann","Regular Play"
"00:14:54.729","Pass","Australia","Trent Sainsbury","Regular Play"
"00:14:55.729","Ball Receipt*","Australia","Aaron Mooy","Regular Play"
"00:14:55.729","Pass","Australia","Aaron Mooy","Regular Play"
"00:14:57.449","Ball Receipt*","Australia","Mark Milligan","Regular Play"
"00:14:57.449","Carry","Australia","Mark Milligan","Regular Play"
"00:14:58.169","Pass","Australia","Mark Milligan","Regular Play"
"00:14:59.448","Ball Receipt*","Australia","Aziz Eraltay Behich","Regular Play"
"00:14:59.448","Carry","Australia","Aziz Eraltay Behich","Regular Play"
"00:14:59.889","Pressure","France","Kylian Mbappé Lottin","Regular Play"
"00:15:00.569","Pass","Australia","Aziz Eraltay Behich","Regular Play"
"00:15:01.769","Ball Receipt*","Australia","Mark Milligan","Regular Play"
"00:15:01.769","Carry","Australia","Mark Milligan","Regular Play"
"00:15:03.889","Pass","Australia","Mark Milligan","Regular Play"
"00:15:05.609","Ball Receipt*","Australia","Mathew Ryan","Regular Play"
"00:15:05.609","Carry","Australia","Mathew Ryan","Regular Play"
"00:15:06.809","Pass","Australia","Mathew Ryan","Regular Play"
"00:15:08.209","Ball Receipt*","Australia","Trent Sainsbury","Regular Play"
"00:15:08.209","Carry","Australia","Trent Sainsbury","Regular Play"
"00:15:09.129","Pass","Australia","Trent Sainsbury","Regular Play"
"00:15:11.089","Ball Receipt*","Australia","Mathew Ryan","Regular Play"
"00:15:11.089","Carry","Australia","Mathew Ryan","Regular Play"
"00:15:12.089","Pass","Australia","Mathew Ryan","Regular Play"
"00:15:13.569","Ball Receipt*","Australia","Mark Milligan","Regular Play"
"00:15:13.569","Carry","Australia","Mark Milligan","Regular Play"
"00:15:14.569","Pass","Australia","Mark Milligan","Regular Play"
"00:15:15.689","Ball Receipt*","Australia","Aziz Eraltay Behich","Regular Play"
